path,line,temporal_patterns,model_patterns,text
src/spatiotemporal_logistics/04_run_four_analyses.py,210,year_month,,"        rso[""year_month""]"
src/spatiotemporal_logistics/04_run_four_analyses.py,255,,LinearRegression,        f1 = LinearRegression()
src/spatiotemporal_logistics/04_run_four_analyses.py,280,,GradientBoost|HistGradientBoost,    # F2 — HistGradientBoosting with native NaN handling.
src/spatiotemporal_logistics/04_run_four_analyses.py,281,,GradientBoost|HistGradientBoost|GradientBoostingRegressor,    f2 = HistGradientBoostingRegressor(
src/spatiotemporal_logistics/04_run_four_analyses.py,432,\boot\b,,"print(""[PASS A2] EXPECTED FREIGHT OOT"")"
src/spatiotemporal_logistics/04_run_four_analyses.py,617,\boot\b,,# OOT speed evaluation
src/spatiotemporal_logistics/04_run_four_analyses.py,619,year_month,,"    master[""year_month""]"
src/spatiotemporal_logistics/04_run_four_analyses.py,640,year_month,,"            ""year_month"","
src/spatiotemporal_logistics/04_run_four_analyses.py,652,\btrain\b,,        train = master[
src/spatiotemporal_logistics/04_run_four_analyses.py,653,year_month,,"            master[""year_month""].isin(train_months)"
src/spatiotemporal_logistics/04_run_four_analyses.py,658,\btest\b,,        test = master[
src/spatiotemporal_logistics/04_run_four_analyses.py,659,year_month,,"            master[""year_month""].eq(test_month)"
src/spatiotemporal_logistics/04_run_four_analyses.py,665,\btrain\b|<\s*,,            len(train) < 100
src/spatiotemporal_logistics/04_run_four_analyses.py,667,\btest\b,,            test.empty
src/spatiotemporal_logistics/04_run_four_analyses.py,671,,LinearRegression,        model = LinearRegression()
src/spatiotemporal_logistics/04_run_four_analyses.py,674,\btrain\b,,"            train[features],"
src/spatiotemporal_logistics/04_run_four_analyses.py,675,\btrain\b,,"            train[""actual_delivery_days""],"
src/spatiotemporal_logistics/04_run_four_analyses.py,678,\btest\b,,        pred.loc[test.index] = model.predict(
src/spatiotemporal_logistics/04_run_four_analyses.py,679,\btest\b,,            test[features]
src/spatiotemporal_logistics/04_run_four_analyses.py,808,expanding|\boot\b,,# Expanding-window OOT classification metrics.
src/spatiotemporal_logistics/04_run_four_analyses.py,824,year_month,,"            ""year_month"","
src/spatiotemporal_logistics/04_run_four_analyses.py,836,\btrain\b,,        train = master[
src/spatiotemporal_logistics/04_run_four_analyses.py,837,year_month,,"            master[""year_month""].isin(train_months)"
src/spatiotemporal_logistics/04_run_four_analyses.py,842,\btest\b,,        test = master[
src/spatiotemporal_logistics/04_run_four_analyses.py,843,year_month,,"            master[""year_month""].eq(test_month)"
src/spatiotemporal_logistics/04_run_four_analyses.py,849,\btrain\b|<\s*,,            len(train) < 200
src/spatiotemporal_logistics/04_run_four_analyses.py,851,\btest\b,,            test.empty
src/spatiotemporal_logistics/04_run_four_analyses.py,853,\btrain\b,,            train[
src/spatiotemporal_logistics/04_run_four_analyses.py,855,<\s*,,            ].nunique() < 2
src/spatiotemporal_logistics/04_run_four_analyses.py,868,\btrain\b,,"            train[features],"
src/spatiotemporal_logistics/04_run_four_analyses.py,869,\btrain\b,,            train[
src/spatiotemporal_logistics/04_run_four_analyses.py,874,\btest\b,,        pred.loc[test.index] = (
src/spatiotemporal_logistics/04_run_four_analyses.py,876,\btest\b,,                test[features]
