channel,lag_day_a,lag_day_b,pearson_correlation
purchase_freight,5,6,0.7540556063835433
purchase_freight,6,7,0.7702148394760681
purchase_freight,7,8,0.7764969080934078
purchase_freight,8,9,0.779694156416646
purchase_freight,9,10,0.773369681963293
purchase_freight,10,11,0.7643242021980583
purchase_freight,11,12,0.7496996326449415
purchase_freight,12,13,0.7745390974080946
purchase_freight,13,14,0.7846055408658236
purchase_freight,14,15,0.7921027639610301
purchase_freight,15,16,0.7865582708846933
purchase_freight,16,17,0.7859167180627515
purchase_freight,17,18,0.7742740879882973
purchase_freight,18,19,0.7660732737824828
purchase_freight,19,20,0.7734547483522055
purchase_freight,20,21,0.789440431261352
purchase_freight,21,22,0.7976296112154393
purchase_freight,22,23,0.7963698076004934
purchase_freight,23,24,0.7960295102977012
purchase_freight,24,25,0.7882752339931184
purchase_freight,25,26,0.7749772650352683
purchase_freight,26,27,0.7896752788804875
purchase_freight,27,28,0.8092383778832251
purchase_freight,28,29,0.8079079112543198
purchase_freight,29,30,0.8166021920170239
purchase_freight,30,31,0.8131640155431459
purchase_freight,31,32,0.8060135034380022
purchase_freight,32,33,0.8005233612073315
purchase_freight,33,34,0.7997445578136829
purchase_freight,34,35,0.8015122159349372
purchase_freight,35,36,0.8100774321515625
purchase_freight,36,37,0.807867608483758
purchase_freight,37,38,0.8201731448511916
purchase_freight,38,39,0.8129316472424082
purchase_freight,39,40,0.8080539171164103
purchase_freight,40,41,0.7892649757871396
purchase_freight,41,42,0.7969166961059089
purchase_freight,42,43,0.7903510037104146
purchase_freight,43,44,0.8049912707597208
purchase_freight,44,45,0.789804557118991
purchase_freight,45,46,0.7923260493296781
purchase_freight,46,47,0.7678943697786368
purchase_freight,47,48,0.786534325669582
purchase_freight,48,49,0.8005115744133796
purchase_freight,49,50,0.7985194994568637
purchase_freight,50,51,0.7993566538747694
purchase_freight,51,52,0.7948582795577915
purchase_freight,52,53,0.7801044616023571
purchase_freight,53,54,0.7830727741407465
purchase_freight,54,55,0.7918869716748931
purchase_freight,55,56,0.8032136691513526
purchase_freight,56,57,0.8119584496280888
purchase_freight,57,58,0.8146349160391894
purchase_freight,58,59,0.8003810069011551
purchase_freight,59,60,0.8000743799663229
purchase_freight,60,61,0.788380354328626
purchase_freight,61,62,0.8003297132503895
purchase_freight,62,63,0.8099900993987933
purchase_freight,63,64,0.8161513555464869
purchase_freight,64,65,0.8201058858670642
purchase_freight,65,66,0.8171581777489803
purchase_freight,66,67,0.8099175540010694
purchase_freight,67,68,0.799668975700849
purchase_freight,68,69,0.8074184483659281
purchase_freight,69,70,0.81762846497297
purchase_freight,70,71,0.8220000583541057
purchase_freight,71,72,0.8237886912918319
purchase_freight,72,73,0.8160348488078771
purchase_freight,73,74,0.8012828712060103
purchase_freight,74,75,0.8001629879220961
purchase_freight,75,76,0.8092342603321792
purchase_freight,76,77,0.8200419991626815
purchase_freight,77,78,0.8207778786350312
purchase_freight,78,79,0.827004987893798
purchase_freight,79,80,0.818011206536636
purchase_freight,80,81,0.8216884170237229
purchase_freight,81,82,0.8110467563730969
purchase_freight,82,83,0.8148269259495947
purchase_freight,83,84,0.814915752814524
purchase_freight,84,85,0.8202023644698951
purchase_freight,85,86,0.8245238485795793
purchase_freight,86,87,0.8218605430814919
purchase_freight,87,88,0.8125064870631098
purchase_freight,88,89,0.8045991965267668
purchase_freight,89,90,0.8051099974597546
