table,column,raw_dtype,rows,non_null,missing,missing_pct,completeness_pct,cardinality,unique_ratio_pct,top_value,top_value_count,top_value_pct,entropy_bits,examples,numeric_min,numeric_p01,numeric_median,numeric_mean,numeric_p99,numeric_max,string_length_min,string_length_median,string_length_max,datetime_parse_failures,datetime_min,datetime_max,position,entity,semantic_type,unit,description_pt,description_status,key_role,foreign_key_target,applicability_condition,missing_reason_policy,aliases_pt,aliases_en,research_terms,event_stage,available_at_t0,availability_confidence,allowed_as_baseline_feature,allowed_as_target_source,leakage_risk,source_evidence,meaning_evidence,external_ground_truth,source_grain,target_ml_grain,aggregation_required,aggregation_policy,direct_feature_allowed,feature_form,grain_compatibility,registry_version
order_items,order_id,object,112650,112650,0,0.0,100.0,98666,87.58632933865957,8272b63d03f5f79c56e9e4120aec44ef,21,0.0186418109187749,,00010242fe8c5a6d1ba2dd792cb16214 | 00018f77f2f0320c557190d7a144bdd3 | 000229ec398224ef6ca0657da4fc703e | 00024acbcdf0a6daa1e931b038114c75 | 00042b26cf59d7ce69dfabb4e55b4fd9,,,,,,,32.0,32.0,32.0,,,,1,order_item,identifier,,Identificador do pedido ao qual o item pertence.,CURATED_PROJECT_REGISTRY,PRIMARY_KEY_COMPONENT+FOREIGN_KEY,orders.order_id,row/entity exists,OBSERVED or ATTRIBUTE_MISSING,order id,order id,,purchase/order composition,LIKELY_YES,MEDIUM,NO_RAW_IDENTIFIER,NO,LOW_TO_REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per item position inside an order,1 row per order_id,YES,GROUP_BY_ORDER_ID,NO,JOIN_KEY,CHILD_GRAIN_REQUIRES_AGGREGATION,1.1
order_items,order_item_id,int64,112650,112650,0,0.0,100.0,21,0.0186418109187749,1,98666,87.58632933865957,0.7224387083597194,1 | 2 | 3 | 4 | 5,1.0,1.0,1.0,1.1978339991122948,4.0,21.0,,,,,,,2,order_item,numeric,,Posição/sequência do item dentro do pedido.,CURATED_PROJECT_REGISTRY,PRIMARY_KEY_COMPONENT,,row/entity exists,OBSERVED or ATTRIBUTE_MISSING,order item id,order item id,,purchase/order composition,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per item position inside an order,1 row per order_id,YES,COUNT,NO,ORDER_ITEM_COUNT,CHILD_GRAIN_REQUIRES_AGGREGATION,1.1
order_items,product_id,object,112650,112650,0,0.0,100.0,32951,29.250776742121616,aca2eb7d00ea1a7b8ebd4e68314663af,527,0.467820683533067,,4244733e06e7ecb4970a6e2683c13e61 | e5f2d52b802189ee658865ca93d83a8f | c777355d18b72b67abbeef9df44fd0fd | 7634da152a4610f1595efa32f14722fc | ac6c3623068f30de03045865e4e10089,,,,,,,32.0,32.0,32.0,,,,3,order_item,identifier,,Identificador do produto comprado.,CURATED_PROJECT_REGISTRY,FOREIGN_KEY,products.product_id,row/entity exists,OBSERVED or ATTRIBUTE_MISSING,product id,product id,,purchase/order composition,LIKELY_YES,MEDIUM,NO_RAW_IDENTIFIER,NO,LOW_TO_REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per item position inside an order,1 row per order_id,YES,COUNT_DISTINCT + JOIN_PRODUCT_ATTRIBUTES,NO,PRODUCT_AGGREGATES,CHILD_GRAIN_REQUIRES_AGGREGATION,1.1
order_items,seller_id,object,112650,112650,0,0.0,100.0,3095,2.7474478473146915,6560211a19b47992c3666cc44a7e94c0,2033,1.804704837993786,,48436dade18ac8b2bce089ec2a041202 | dd7ddc04e1b6c2c614352b383efe2d36 | 5b51032eddd242adc84c38acab88f23d | 9d7a1d34a5052409006425275ba1c2b4 | df560393f3a51e74553ab94004ba5c87,,,,,,,32.0,32.0,32.0,,,,4,order_item,identifier,,Identificador do vendedor responsável pelo item.,CURATED_PROJECT_REGISTRY,FOREIGN_KEY,sellers.seller_id,row/entity exists,OBSERVED or ATTRIBUTE_MISSING,vendedor; seller; lojista,seller; merchant; vendor,seller performance; merchant risk; historical seller features,purchase/order composition,LIKELY_YES,MEDIUM,NO_RAW_IDENTIFIER,NO,LOW_TO_REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per item position inside an order,1 row per order_id,YES,COUNT_DISTINCT + POINT_IN_TIME_HISTORY,NO,SELLER_COUNT_AND_HISTORICAL_FEATURES,CHILD_GRAIN_REQUIRES_AGGREGATION,1.1
order_items,shipping_limit_date,object,112650,112650,0,0.0,100.0,93318,82.83888149134488,2018-03-01 02:50:48,21,0.0186418109187749,,2017-09-19 09:45:35 | 2017-05-03 11:05:13 | 2018-01-18 14:48:30 | 2018-08-15 10:10:18 | 2017-02-13 13:57:51,,,,,,,19.0,19.0,19.0,0.0,2016-09-19 00:15:34,2020-04-09 22:35:08,5,order_item,datetime,,Data limite relacionada ao envio do item pelo seller.,CURATED_PROJECT_REGISTRY,NONE,,row/entity exists,OBSERVED or ATTRIBUTE_MISSING,prazo de postagem; limite de envio; prazo do seller,shipping limit; seller shipping deadline; dispatch deadline,seller handling time; dispatch SLA; point-in-time availability,purchase/order composition,UNVERIFIED,LOW,HOLD,NO,POTENTIAL,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per item position inside an order,1 row per order_id,YES,HOLD — availability at t0 not proven,HOLD,NONE_UNTIL_PROVENANCE_CONFIRMED,CHILD_GRAIN_REQUIRES_AGGREGATION,1.1
order_items,price,float64,112650,112650,0,0.0,100.0,5968,5.297825122059476,59.9,2481,2.202396804260985,,58.9 | 239.9 | 199.0 | 12.99 | 199.9,0.85,9.99,74.99,120.65373901464712,890.0,6735.0,,,,,,,6,order_item,monetary,BRL,Preço do item.,CURATED_PROJECT_REGISTRY,NONE,,row/entity exists,OBSERVED or ATTRIBUTE_MISSING,price,price,,purchase/order composition,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per item position inside an order,1 row per order_id,YES,"SUM, MEAN, MAX, MIN",AGGREGATE_ONLY,ORDER_PRICE_AGGREGATES,CHILD_GRAIN_REQUIRES_AGGREGATION,1.1
order_items,freight_value,float64,112650,112650,0,0.0,100.0,6999,6.213049267643142,15.1,3707,3.2907234798047047,,13.29 | 19.93 | 17.87 | 12.79 | 18.14,0.0,4.4198,16.26,19.990319928983578,84.52,409.68,,,,,,,7,order_item,monetary,BRL,Valor de frete associado ao item.,CURATED_PROJECT_REGISTRY,NONE,,row/entity exists,OBSERVED or ATTRIBUTE_MISSING,frete; custo do frete; valor de envio,freight; shipping cost; delivery fee,shipping cost; logistics cost; fulfillment cost,purchase/order composition,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per item position inside an order,1 row per order_id,YES,"SUM, MEAN, MAX, freight/item_ratio",AGGREGATE_ONLY,ORDER_FREIGHT_AGGREGATES,CHILD_GRAIN_REQUIRES_AGGREGATION,1.1
payments,order_id,object,103886,103886,0,0.0,100.0,99440,95.7203088000308,fa65dad1b0e818e3ccc5cb0e39231352,29,0.0279152147546348,,b81ef226f3fe1789b1e8b2acac839d17 | a9810da82917af2d9aefd1278f1dcfa0 | 25e8ea4e93396b6fa0d3dd708e76c1bd | ba78997921bbcdc1373bb41e913ab953 | 42fdf880ba16b47b59251dd489d4441a,,,,,,,32.0,32.0,32.0,,,,1,order_payment,identifier,,Identificador do pedido associado ao pagamento.,CURATED_PROJECT_REGISTRY,PRIMARY_KEY_COMPONENT+FOREIGN_KEY,orders.order_id,row/entity exists,OBSERVED or ATTRIBUTE_MISSING,order id,order id,,checkout/payment,ASSUMED_AT_CHECKOUT_NEEDS_VERIFICATION,MEDIUM_LOW,NO_RAW_IDENTIFIER,NO,REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per payment sequence,1 row per order_id,YES,GROUP_BY_ORDER_ID,NO,JOIN_KEY,CHILD_GRAIN_REQUIRES_AGGREGATION,1.1
payments,payment_sequential,int64,103886,103886,0,0.0,100.0,29,0.0279152147546348,1,99360,95.6433013110525,0.3399755192693087,1 | 2 | 4 | 5 | 3,1.0,1.0,1.0,1.0926785129853878,3.0,29.0,,,,,,,2,order_payment,numeric,,Número sequencial do registro de pagamento dentro do pedido.,CURATED_PROJECT_REGISTRY,PRIMARY_KEY_COMPONENT,,row/entity exists,OBSERVED or ATTRIBUTE_MISSING,payment sequential,payment sequential,,checkout/payment,ASSUMED_AT_CHECKOUT_NEEDS_VERIFICATION,MEDIUM_LOW,YES_CANDIDATE_AFTER_PROVENANCE,NO,REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per payment sequence,1 row per order_id,YES,COUNT,NO,PAYMENT_RECORD_COUNT,CHILD_GRAIN_REQUIRES_AGGREGATION,1.1
payments,payment_type,object,103886,103886,0,0.0,100.0,5,0.0048129680611439,credit_card,76795,73.92237645110987,1.099654199956723,credit_card | boleto | voucher | debit_card | not_defined,,,,,,,6.0,11.0,11.0,,,,3,order_payment,categorical,,Tipo/meio de pagamento.,CURATED_PROJECT_REGISTRY,NONE,,row/entity exists,OBSERVED or ATTRIBUTE_MISSING,payment type,payment type,,checkout/payment,ASSUMED_AT_CHECKOUT_NEEDS_VERIFICATION,MEDIUM_LOW,YES_CANDIDATE_AFTER_PROVENANCE,NO,REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per payment sequence,1 row per order_id,YES,SET/FLAGS + COUNT_DISTINCT + PRIMARY_TYPE,AGGREGATE_ONLY,MULTI_PAYMENT_TYPE,CHILD_GRAIN_REQUIRES_AGGREGATION,1.1
payments,payment_installments,int64,103886,103886,0,0.0,100.0,24,0.0231022466934909,1,52546,50.58044394817396,2.4420344554089777,8 | 1 | 2 | 3 | 6,0.0,1.0,1.0,2.853348863176944,10.0,24.0,,,,,,,4,order_payment,numeric,count,Número de parcelas registrado para o pagamento.,CURATED_PROJECT_REGISTRY,NONE,,row/entity exists,OBSERVED or ATTRIBUTE_MISSING,payment installments,payment installments,,checkout/payment,ASSUMED_AT_CHECKOUT_NEEDS_VERIFICATION,MEDIUM_LOW,YES_CANDIDATE_AFTER_PROVENANCE,NO,REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per payment sequence,1 row per order_id,YES,"MAX, MEAN",AGGREGATE_ONLY,INSTALLMENT_AGGREGATES,CHILD_GRAIN_REQUIRES_AGGREGATION,1.1
payments,payment_value,float64,103886,103886,0,0.0,100.0,29077,27.989334462776505,50.0,324,0.3118803303621277,,99.33 | 24.39 | 65.71 | 107.78 | 128.45,0.0,6.69,100.0,154.10038041699556,1039.9164999999994,13664.08,,,,,,,5,order_payment,monetary,BRL,Valor registrado no pagamento.,CURATED_PROJECT_REGISTRY,NONE,,row/entity exists,OBSERVED or ATTRIBUTE_MISSING,payment value,payment value,,checkout/payment,ASSUMED_AT_CHECKOUT_NEEDS_VERIFICATION,MEDIUM_LOW,YES_CANDIDATE_AFTER_PROVENANCE,NO,REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per payment sequence,1 row per order_id,YES,SUM,AGGREGATE_ONLY,TOTAL_PAYMENT,CHILD_GRAIN_REQUIRES_AGGREGATION,1.1
reviews,review_id,object,99224,99224,0,0.0,100.0,98410,99.17963395952592,4548534449b1f572e357211b90724f1b,3,0.0030234620656292,,7bc2406110b926393aa56f80a40eba40 | 80e641a11e56f04c1ad469d5645fdfde | 228ce5500dc1d8e020d8d1322874b6f0 | e64fb393e7b32834bb789ff8bb30750e | f7c4243c7fe1938f181bec41a392bdeb,,,,,,,32.0,32.0,32.0,,,,1,order_review,identifier,,Identificador do registro de avaliação.,CURATED_PROJECT_REGISTRY,NONE,,row/entity exists,distinguish OPTIONAL_TEXT / POST_EVENT_NOT_AVAILABLE / ATTRIBUTE_MISSING,review id,review id,,post_purchase/post_delivery,NO,HIGH,NO,NO,CRITICAL_IF_USED,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per review record,1 row per order_id,NOT_APPLICABLE_FOR_BASELINE,KEEP_OUTSIDE_DELIVERY_RISK_BASELINE,NO,POST_DELIVERY_NLP_ONLY,POST_OUTCOME_DATA,1.1
reviews,order_id,object,99224,99224,0,0.0,100.0,98673,99.44469080061276,8e17072ec97ce29f0e1f111e598b0c85,3,0.0030234620656292,,73fc7af87114b39712e6da79b0a377eb | a548910a1c6147796b98fdf73dbeba33 | f9e4b658b201a9f2ecdecbb34bed034b | 658677c97b385a9be170737859d3511b | 8e6bfb81e283fa7e4f11123a3fb894f1,,,,,,,32.0,32.0,32.0,,,,2,order_review,identifier,,Identificador do pedido avaliado.,CURATED_PROJECT_REGISTRY,FOREIGN_KEY,orders.order_id,row/entity exists,distinguish OPTIONAL_TEXT / POST_EVENT_NOT_AVAILABLE / ATTRIBUTE_MISSING,order id,order id,,post_purchase/post_delivery,NO,HIGH,NO,NO,CRITICAL_IF_USED,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per review record,1 row per order_id,NOT_APPLICABLE_FOR_BASELINE,KEEP_OUTSIDE_DELIVERY_RISK_BASELINE,NO,POST_DELIVERY_NLP_ONLY,POST_OUTCOME_DATA,1.1
reviews,review_score,int64,99224,99224,0,0.0,100.0,5,0.0050391034427154,5,57328,57.77634443279852,1.7291523934930542,4 | 5 | 1 | 3 | 2,1.0,1.0,5.0,4.08642062404257,5.0,5.0,,,,,,,3,order_review,numeric,score_1_5,Nota atribuída pelo cliente à experiência da compra.,CURATED_PROJECT_REGISTRY,NONE,,row/entity exists,distinguish OPTIONAL_TEXT / POST_EVENT_NOT_AVAILABLE / ATTRIBUTE_MISSING,review score,review score,,post_purchase/post_delivery,NO,HIGH,NO,NO,CRITICAL_IF_USED,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per review record,1 row per order_id,NOT_APPLICABLE_FOR_BASELINE,KEEP_OUTSIDE_DELIVERY_RISK_BASELINE,NO,POST_DELIVERY_NLP_ONLY,POST_OUTCOME_DATA,1.1
reviews,review_comment_title,object,99224,11568,87656,88.34153027493349,11.65846972506651,4527,39.13381742738589,Recomendo,423,3.6566390041493775,,recomendo | Super recomendo | Não chegou meu produto  | Ótimo | Muito bom.,,,,,,,1.0,10.0,26.0,,,,4,order_review,free_text,,Título opcional do comentário da avaliação.,CURATED_PROJECT_REGISTRY,NONE,,review record exists AND customer supplied optional text,distinguish OPTIONAL_TEXT / POST_EVENT_NOT_AVAILABLE / ATTRIBUTE_MISSING,review comment title,review comment title,,post_purchase/post_delivery,NO,HIGH,NO,NO,CRITICAL_IF_USED,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per review record,1 row per order_id,NOT_APPLICABLE_FOR_BASELINE,KEEP_OUTSIDE_DELIVERY_RISK_BASELINE,NO,POST_DELIVERY_NLP_ONLY,POST_OUTCOME_DATA,1.1
