feature_name,module,sources,source_statuses,target_grain,formula,aggregation,availability_class,feature_set,model_01_policy,model_02_policy,status,notes,has_forbidden_or_target_dependency
customer_city,GEOGRAPHY,customers.customer_city,SAFE_CONTEXT_AT_T0,ORDER,customers.customer_city,REFERENCE_JOIN_TO_ORDER,SAFE_CONTEXT_AT_T0,GEOGRAPHY_CONTEXT_V1,DO_NOT_USE_YET,DO_NOT_USE_YET,READY_FOR_FUTURE_MODULE,,False
customer_zip_prefix,GEOGRAPHY,customers.customer_zip_code_prefix,SAFE_CONTEXT_AT_T0,ORDER,customers.customer_zip_code_prefix,REFERENCE_JOIN_TO_ORDER,SAFE_CONTEXT_AT_T0,GEOGRAPHY_CONTEXT_V1,DO_NOT_USE_YET,DO_NOT_USE_YET,READY_FOR_FUTURE_MODULE,,False
category_count_distinct,ORDER,order_items.product_id;products.product_category_name,JOIN_KEY_ONLY;STATIC_REFERENCE_ASSUMPTION,ORDER,COUNT_DISTINCT_BY_ORDER(products.product_category_name),COUNT_DISTINCT_BY_ORDER,STATIC_REFERENCE_ASSUMPTION,ORDER_CATALOG_V1,DO_NOT_USE,CANDIDATE_AFTER_REVIEW,STATIC_ASSUMPTION,No historical product-catalog snapshots exist. Do not mix with strict Model 01 baseline.,False
total_product_weight_g,ORDER,order_items.product_id;products.product_weight_g,JOIN_KEY_ONLY;STATIC_REFERENCE_ASSUMPTION,ORDER,SUM_BY_ORDER(products.product_weight_g),SUM_BY_ORDER,STATIC_REFERENCE_ASSUMPTION,ORDER_CATALOG_V1,DO_NOT_USE,CANDIDATE_AFTER_REVIEW,STATIC_ASSUMPTION,No historical product-catalog snapshots exist. Do not mix with strict Model 01 baseline.,False
max_product_weight_g,ORDER,order_items.product_id;products.product_weight_g,JOIN_KEY_ONLY;STATIC_REFERENCE_ASSUMPTION,ORDER,MAX_BY_ORDER(products.product_weight_g),MAX_BY_ORDER,STATIC_REFERENCE_ASSUMPTION,ORDER_CATALOG_V1,DO_NOT_USE,CANDIDATE_AFTER_REVIEW,STATIC_ASSUMPTION,No historical product-catalog snapshots exist. Do not mix with strict Model 01 baseline.,False
mean_product_weight_g,ORDER,order_items.product_id;products.product_weight_g,JOIN_KEY_ONLY;STATIC_REFERENCE_ASSUMPTION,ORDER,MEAN_BY_ORDER(products.product_weight_g),MEAN_BY_ORDER,STATIC_REFERENCE_ASSUMPTION,ORDER_CATALOG_V1,DO_NOT_USE,CANDIDATE_AFTER_REVIEW,STATIC_ASSUMPTION,No historical product-catalog snapshots exist. Do not mix with strict Model 01 baseline.,False
max_product_length_cm,ORDER,order_items.product_id;products.product_length_cm,JOIN_KEY_ONLY;STATIC_REFERENCE_ASSUMPTION,ORDER,MAX_BY_ORDER(products.product_length_cm),MAX_BY_ORDER,STATIC_REFERENCE_ASSUMPTION,ORDER_CATALOG_V1,DO_NOT_USE,CANDIDATE_AFTER_REVIEW,STATIC_ASSUMPTION,No historical product-catalog snapshots exist. Do not mix with strict Model 01 baseline.,False
max_product_height_cm,ORDER,order_items.product_id;products.product_height_cm,JOIN_KEY_ONLY;STATIC_REFERENCE_ASSUMPTION,ORDER,MAX_BY_ORDER(products.product_height_cm),MAX_BY_ORDER,STATIC_REFERENCE_ASSUMPTION,ORDER_CATALOG_V1,DO_NOT_USE,CANDIDATE_AFTER_REVIEW,STATIC_ASSUMPTION,No historical product-catalog snapshots exist. Do not mix with strict Model 01 baseline.,False
max_product_width_cm,ORDER,order_items.product_id;products.product_width_cm,JOIN_KEY_ONLY;STATIC_REFERENCE_ASSUMPTION,ORDER,MAX_BY_ORDER(products.product_width_cm),MAX_BY_ORDER,STATIC_REFERENCE_ASSUMPTION,ORDER_CATALOG_V1,DO_NOT_USE,CANDIDATE_AFTER_REVIEW,STATIC_ASSUMPTION,No historical product-catalog snapshots exist. Do not mix with strict Model 01 baseline.,False
total_product_volume_cm3,ORDER,order_items.product_id;products.product_length_cm;products.product_height_cm;products.product_width_cm,JOIN_KEY_ONLY;STATIC_REFERENCE_ASSUMPTION;STATIC_REFERENCE_ASSUMPTION;STATIC_REFERENCE_ASSUMPTION,ORDER,SUM(product_length_cm * product_height_cm * product_width_cm),PRODUCT_THEN_ORDER_AGGREGATION,STATIC_REFERENCE_ASSUMPTION,ORDER_CATALOG_V1,DO_NOT_USE,CANDIDATE_AFTER_REVIEW,STATIC_ASSUMPTION,,False
seller_state_context,GEOGRAPHY,order_items.seller_id;sellers.seller_state,JOIN_KEY_ONLY;STATIC_REFERENCE_ASSUMPTION,ORDER,aggregate(sellers.seller_state) to order,MULTI_SELLER_ORDER_AGGREGATION_REQUIRED,STATIC_REFERENCE_ASSUMPTION,SELLER_GEO_CONTEXT_V1,DO_NOT_USE,DO_NOT_USE_YET,STATIC_ASSUMPTION,Historical seller-address snapshots are unavailable. Multi-seller representation remains open.,False
seller_city_context,GEOGRAPHY,order_items.seller_id;sellers.seller_city,JOIN_KEY_ONLY;STATIC_REFERENCE_ASSUMPTION,ORDER,aggregate(sellers.seller_city) to order,MULTI_SELLER_ORDER_AGGREGATION_REQUIRED,STATIC_REFERENCE_ASSUMPTION,SELLER_GEO_CONTEXT_V1,DO_NOT_USE,DO_NOT_USE_YET,STATIC_ASSUMPTION,Historical seller-address snapshots are unavailable. Multi-seller representation remains open.,False
seller_zip_context,GEOGRAPHY,order_items.seller_id;sellers.seller_zip_code_prefix,JOIN_KEY_ONLY;STATIC_REFERENCE_ASSUMPTION,ORDER,aggregate(sellers.seller_zip_code_prefix) to order,MULTI_SELLER_ORDER_AGGREGATION_REQUIRED,STATIC_REFERENCE_ASSUMPTION,SELLER_GEO_CONTEXT_V1,DO_NOT_USE,DO_NOT_USE_YET,STATIC_ASSUMPTION,Historical seller-address snapshots are unavailable. Multi-seller representation remains open.,False
seller_customer_distance_km,GEO_PROMISE,customers.customer_zip_code_prefix;sellers.seller_zip_code_prefix;geolocation.geolocation_zip_code_prefix;geolocation.geolocation_lat;geolocation.geolocation_lng,SAFE_CONTEXT_AT_T0;STATIC_REFERENCE_ASSUMPTION;HOLD_DATA_QUALITY;HOLD_DATA_QUALITY;HOLD_DATA_QUALITY,ORDER,"Haversine(seller_zip_centroid, customer_zip_centroid)",ZIP_CONSOLIDATION_THEN_ORDER_AGGREGATION,HOLD_DATA_QUALITY,GEO_PROMISE_V1,DO_NOT_USE,DO_NOT_USE,BLOCKED,Blocked by ISSUE-GEO-001.,False
payment_record_count,PAYMENT,payments.payment_sequential,HOLD_PROVENANCE,ORDER,COUNT(payment_sequential),AGGREGATE_BY_ORDER,HOLD_PROVENANCE,PAYMENT_V1,DO_NOT_USE,DO_NOT_USE,BLOCKED,Blocked by ISSUE-PAYMENT-AVAILABILITY-001.,False
payment_type_count,PAYMENT,payments.payment_type,HOLD_PROVENANCE,ORDER,COUNT_DISTINCT(payment_type),AGGREGATE_BY_ORDER,HOLD_PROVENANCE,PAYMENT_V1,DO_NOT_USE,DO_NOT_USE,BLOCKED,Blocked by ISSUE-PAYMENT-AVAILABILITY-001.,False
max_payment_installments,PAYMENT,payments.payment_installments,HOLD_PROVENANCE,ORDER,MAX(payment_installments),AGGREGATE_BY_ORDER,HOLD_PROVENANCE,PAYMENT_V1,DO_NOT_USE,DO_NOT_USE,BLOCKED,Blocked by ISSUE-PAYMENT-AVAILABILITY-001.,False
total_payment_value,PAYMENT,payments.payment_value,HOLD_PROVENANCE,ORDER,SUM(payment_value),AGGREGATE_BY_ORDER,HOLD_PROVENANCE,PAYMENT_V1,DO_NOT_USE,DO_NOT_USE,BLOCKED,Blocked by ISSUE-PAYMENT-AVAILABILITY-001.,False
shipping_limit_days_from_purchase,GEO_PROMISE,order_items.shipping_limit_date;orders.order_purchase_timestamp,HOLD_PROVENANCE;DERIVED_SAFE_AT_T0,ORDER,shipping_limit_date - order_purchase_timestamp,ITEM_TO_ORDER_AGGREGATION_REQUIRED,HOLD_PROVENANCE,GEO_PROMISE_V1,DO_NOT_USE,DO_NOT_USE,BLOCKED,Blocked by ISSUE-SHIPPING-LIMIT-001.,False
seller_prior_order_count,SELLER_HISTORY,order_items.seller_id;orders.order_purchase_timestamp,JOIN_KEY_ONLY;DERIVED_SAFE_AT_T0,ORDER,COUNT(prior seller orders with purchase_j < purchase_i),PURCHASE_EVENT_HISTORY,POINT_IN_TIME_REQUIRED,SELLER_HISTORY_V1,DO_NOT_USE,DO_NOT_USE,REQUIRES_TEMPORAL_BUILDER,"For outcome-dependent history, order j can contribute only when its delivery outcome was already observable before purchase_i.",False
seller_prior_observed_delivery_count,SELLER_HISTORY,order_items.seller_id;orders.order_purchase_timestamp,JOIN_KEY_ONLY;DERIVED_SAFE_AT_T0,ORDER,COUNT(prior seller orders with delivery_j < purchase_i),OUTCOME_AVAILABLE_HISTORY,POINT_IN_TIME_REQUIRED,SELLER_HISTORY_V1,DO_NOT_USE,DO_NOT_USE,REQUIRES_TEMPORAL_BUILDER,"For outcome-dependent history, order j can contribute only when its delivery outcome was already observable before purchase_i.",False
seller_prior_late_count,SELLER_HISTORY,order_items.seller_id;orders.order_purchase_timestamp,JOIN_KEY_ONLY;DERIVED_SAFE_AT_T0,ORDER,COUNT(prior late orders with delivery_j < purchase_i),OUTCOME_AVAILABLE_HISTORY,POINT_IN_TIME_REQUIRED,SELLER_HISTORY_V1,DO_NOT_USE,DO_NOT_USE,REQUIRES_TEMPORAL_BUILDER,"For outcome-dependent history, order j can contribute only when its delivery outcome was already observable before purchase_i.",False
seller_late_rate_prior,SELLER_HISTORY,order_items.seller_id;orders.order_purchase_timestamp,JOIN_KEY_ONLY;DERIVED_SAFE_AT_T0,ORDER,prior_late_count / prior_observed_delivery_count,OUTCOME_AVAILABLE_HISTORY,POINT_IN_TIME_REQUIRED,SELLER_HISTORY_V1,DO_NOT_USE,DO_NOT_USE,REQUIRES_TEMPORAL_BUILDER,"For outcome-dependent history, order j can contribute only when its delivery outcome was already observable before purchase_i.",False
seller_late_rate_30d,SELLER_HISTORY,order_items.seller_id;orders.order_purchase_timestamp,JOIN_KEY_ONLY;DERIVED_SAFE_AT_T0,ORDER,smoothed late rate among outcomes available in prior 30 days,OUTCOME_AVAILABLE_HISTORY,POINT_IN_TIME_REQUIRED,SELLER_HISTORY_V1,DO_NOT_USE,DO_NOT_USE,REQUIRES_TEMPORAL_BUILDER,"For outcome-dependent history, order j can contribute only when its delivery outcome was already observable before purchase_i.",False
seller_late_rate_90d,SELLER_HISTORY,order_items.seller_id;orders.order_purchase_timestamp,JOIN_KEY_ONLY;DERIVED_SAFE_AT_T0,ORDER,smoothed late rate among outcomes available in prior 90 days,OUTCOME_AVAILABLE_HISTORY,POINT_IN_TIME_REQUIRED,SELLER_HISTORY_V1,DO_NOT_USE,DO_NOT_USE,REQUIRES_TEMPORAL_BUILDER,"For outcome-dependent history, order j can contribute only when its delivery outcome was already observable before purchase_i.",False
seller_order_volume_7d,SELLER_HISTORY,order_items.seller_id;orders.order_purchase_timestamp,JOIN_KEY_ONLY;DERIVED_SAFE_AT_T0,ORDER,"COUNT seller purchases in [purchase_i-7d, purchase_i)",PURCHASE_EVENT_HISTORY,POINT_IN_TIME_REQUIRED,SELLER_HISTORY_V1,DO_NOT_USE,DO_NOT_USE,REQUIRES_TEMPORAL_BUILDER,"For outcome-dependent history, order j can contribute only when its delivery outcome was already observable before purchase_i.",False
seller_order_volume_30d,SELLER_HISTORY,order_items.seller_id;orders.order_purchase_timestamp,JOIN_KEY_ONLY;DERIVED_SAFE_AT_T0,ORDER,"COUNT seller purchases in [purchase_i-30d, purchase_i)",PURCHASE_EVENT_HISTORY,POINT_IN_TIME_REQUIRED,SELLER_HISTORY_V1,DO_NOT_USE,DO_NOT_USE,REQUIRES_TEMPORAL_BUILDER,"For outcome-dependent history, order j can contribute only when its delivery outcome was already observable before purchase_i.",False
